Month,Min_RH,Max_RH,Std_RH
January,51.7,91.3,± 10.2
February,47.1,89.1,± 9.9
March,50,90.8,± 10.1
April,54.3,89.2,± 9.3
May,48.2,86.2,± 8.8
June,41.7,87,± 10.3
July,48.7,88.9,± 9.2
August,50.4,92.7,± 10.2
September,51.4,93.1,± 8.6
October,53.6,96.6,± 8.6
November,59.1,96.9,± 8.3
December,59.1,93.4,± 7.0
